prompt
"one color, one shape"
twelve principles of animation
fibonacci
lowres
"write ""Genuary"" without a font"
lights on/off
boolean algebra
"a city, generative metropolis"
crazy cellular automaton
polar coordinates
quine
boxes only
self portrait
everything fits perfectly
"invisible object, visible shadows"
order and disorder
wallpaper group
unexpected path
16x16
one line
bauhaus poster
pen plotter ready
transparency
perfectionist's nightmare
organic geometry
recursive grids
lifeform
"no libraries, no canvas, only HTML elements"
genetic evolution and mutation
"it's not a bug, it's a feature"
only shaders
